,Brand,Campaign,Year,Devices,Rating,Number_of_Reviews,Feature_Liked,Most_Feature_Liked,Least_Feature_Liked,Customer_Comments,Positive_Feedback,Negative_Feedback
0,Apple,Hello Yellow iPhone 14,2023,14 Plus,4.7,5200,Personalization,Fun New Yellow Color,Feature Consistency,A device with unique features and capabilities. (Unique for 14 Plus),14 Plus is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in 14 Plus.
1,Apple,Hello Yellow iPhone 14,2023,14 Pro Max,4.7,5200,Personalization,Fun New Yellow Color,Feature Consistency,A device with unique features and capabilities. (Unique for 14 Pro Max),14 Pro Max is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in 14 Pro Max.
2,Samsung,Why Switch?,2017,Galaxy Note 8,4.5,3200,"Expandable Storage, Fast Charging",Larger Screens,Compatibility With Apple Ecosystem,An excellent choice for productivity with the S Pen. (Unique for Galaxy Note 8),"Praised for S Pen productivity, excellent dual-camera capabilities, and water resistance.","Bulky design for single-hand use, high price compared to peers."
3,Samsung,Why Switch?,2017,Galaxy S8 & S8+,4.5,3200,"Expandable Storage, Fast Charging",Larger Screens,Compatibility With Apple Ecosystem,Highlighted for larger screens and expandable storage. (Unique for Galaxy S8 & S8+),"Infinity Display sets new screen standards, expandable storage future-proof.","Battery life underwhelms, awkward fingerprint placement."
4,Samsung,Do What You Can't,2018,Galaxy S9,4.6,5000,"Dual Aperture Camera, Compact Design, Dolby Atmos Audio",Camera,Battery,"Praised for its camera and display, but battery life could be better.","Groundbreaking Dual Aperture adjusts for lighting, compact design, and great audio quality with Dolby Atmos.","Battery life underwhelms, awkward fingerprint sensor placement, and updates discontinued."
5,Samsung,Unfold Your World,2021,"Galaxy Z Flip 3, Galaxy Z Fold 3",4.8,4800,"Foldable Display, Flex Mode",Flex Mode,Durability Concerns,"The campaign highlights the revolutionary foldable design, boosting multitasking and convenience.",Flex Mode enables creative use cases; the foldable screen redefines multitasking.,Concerns over long-term durability of the foldable hinge and screen.
10,Apple,Just the Right Amount of Everything,2019,iPhone 11,4.7,4500,"Dual cameras, long battery life, A13 Bionic chip",Battery Life,LCD Display,"Great value for a flagship device, but the LCD screen is a downside.","Affordable flagship, excellent battery life, and reliable performance.",LCD display feels outdated compared to OLED competitors.
11,Apple,Privacy. That's iPhone,2019,iPhone 11 Pro,4.8,4200,"Triple-camera system, OLED display, A13 Bionic chip",Camera,Price,"Stunning camera quality and display, but very expensive.","Pro-level cameras, vibrant OLED display, excellent performance.",Very expensive compared to non-Pro models.
12,Apple,Privacy. That's iPhone,2019,iPhone 11 Pro Max,4.8,4600,"Large OLED display, triple-camera system",Display,Price,Excellent for media consumption but comes at a high price.,"Biggest and brightest display, professional-level cameras.",Expensive and bulky for some users.
13,Apple,Privacy. That's iPhone,2020,iPhone 12,4.8,4800,"A14 Bionic chip, 5G support, Super Retina XDR display",Performance,Battery Life,"Fast performance and great design, but battery life isn't ideal.","Blazing-fast performance, sharp OLED display, and future-proof 5G support.",Battery life struggles to keep up with heavy use.
14,Apple,Privacy. That's iPhone,2020,iPhone 12 Mini,4.6,3600,"Compact design, A14 chip, OLED display",Design,Battery Life,"Compact size is perfect, but battery life is disappointing.","Great performance in a compact form factor, vibrant OLED display.","Battery life is subpar, especially for demanding tasks."
