Brand,Campaign,Year,Devices,Rating,Number_of_Reviews,Feature_Liked,Most_Feature_Liked,Least_Feature_Liked,Customer_Comments,Validated_Year,Sentiment,Positive_Feedback,Negative_Feedback
Apple,Hello Yellow iPhone 14,2023,14 Plus,4.7,5200,Personalization,Fun New Yellow Color,Feature Consistency,A device with unique features and capabilities. (Unique for 14 Plus),,Positive,14 Plus is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in 14 Plus.
Apple,Hello Yellow iPhone 14,2023,14 Pro Max,4.7,5200,Personalization,Fun New Yellow Color,Feature Consistency,A device with unique features and capabilities. (Unique for 14 Pro Max),,Positive,14 Pro Max is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in 14 Pro Max.
Samsung,Why Switch?,2017,Galaxy Note 8,4.5,3200,"Expandable Storage, Fast Charging",Larger Screens,Compatibility With Apple Ecosystem,An excellent choice for productivity with the S Pen. (Unique for Galaxy Note 8),2017,Positive,"Praised for S Pen productivity, excellent dual-camera capabilities, and water resistance.","Bulky design for single-hand use, high price compared to peers."
Samsung,Why Switch?,2017,Galaxy S8 & S8+,4.5,3200,"Expandable Storage, Fast Charging",Larger Screens,Compatibility With Apple Ecosystem,Highlighted for larger screens and expandable storage. (Unique for Galaxy S8 & S8+),2017,Positive,"Infinity Display sets new screen standards, expandable storage future-proof.","Battery life underwhelms, awkward fingerprint placement."
Samsung,Reimagined Camera,2018,Galaxy S9,4.6,5000,"Dual Aperture Camera, Compact Design, Dolby Atmos Audio",Camera,Battery,"Praised for its camera and display, but battery life could be better.",2018,Positive,"Groundbreaking Dual Aperture adjusts for lighting, compact design, and great audio quality with Dolby Atmos.","Battery life underwhelms, awkward fingerprint sensor placement, and updates discontinued."
Samsung,Unfold Your World,2019 Present,Galaxy Z Flip,4.9,4800,Foldable Technology,Unique Smartphone Experiences,Durability Concerns,Brought foldable innovation to trend-focused users.,,Negative,Galaxy Z Flip is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in Galaxy Z Flip.
Samsung,Unfold Your World,2019 Present,Galaxy Z Flip 5 & Z Fold 5,4.9,4800,Foldable Technology,Unique Smartphone Experiences,Durability Concerns,Showcased cutting-edge innovation for personalization. (Unique for Galaxy Z Flip 5 & Z Fold 5),,Positive,Galaxy Z Flip 5 & Z Fold 5 is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in Galaxy Z Flip 5 & Z Fold 5.
Samsung,Unfold Your World,2019 Present,Galaxy Z Fold 2,4.9,4800,Foldable Technology,Unique Smartphone Experiences,Durability Concerns,Enhanced the foldable smartphone experience.,,Negative,Galaxy Z Fold 2 is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in Galaxy Z Fold 2.
Samsung,Unfold Your World,2019 Present,Galaxy Z Fold 3 & Z Flip 3,4.9,4800,Foldable Technology,Unique Smartphone Experiences,Durability Concerns,Refined foldable technology for mainstream appeal.,,Negative,Galaxy Z Fold 3 & Z Flip 3 is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in Galaxy Z Fold 3 & Z Flip 3.
Samsung,Unfold Your World,2019 Present,Galaxy Z Fold 4 & Z Flip 4,4.9,4800,Foldable Technology,Unique Smartphone Experiences,Durability Concerns,Improved durability and performance in foldable devices.,,Negative,Galaxy Z Fold 4 & Z Flip 4 is praised for its innovative design and performance.,Users expressed concerns about pricing or specific feature limitations in Galaxy Z Fold 4 & Z Flip 4.
